code,name,symbol,quantity
FR,foot per minute,ft/min,periodic & related phenomena
FS,foot per second,ft/s,periodic & related phenomena
FTK,square foot,ft²,periodic & related phenomena
FTQ,cubic foot,ft³,periodic & related phenomena
G01,pascal cubic metre per second,Pa·m³/s,space & time
G04,centimetre per bar,cm/bar,space & time
G05,metre per bar,m/bar,space & time
G06,millimetre per bar,mm/bar,space & time
G08,square inch per second,in²/s,periodic & related phenomena
G09,square metre per second kelvin,m²/(s·K),space & time
G10,stokes per kelvin,St/K,periodic & related phenomena
G11,gram per cubic centimetre bar,g/(cm³·bar),space & time
G12,gram per cubic decimetre bar,g/(dm³·bar),space & time
G13,gram per litre bar,g/(l·bar),space & time
G14,gram per cubic metre bar,g/(m³·bar),space & time
G15,gram per millilitre bar,g/(ml·bar),space & time
G16,kilogram per cubic centimetre bar,kg/(cm³·bar),space & time
G17,kilogram per litre bar,kg/(l·bar),space & time
G18,kilogram per cubic metre bar,kg/(m³·bar),space & time
G19,newton metre per kilogram,N·m/kg,space & time
G2,US gallon per minute,gal (US) /min,periodic & related phenomena
G20,pound-force foot per pound,lbf·ft/lb,periodic & related phenomena
G21,cup [unit of volume],cup (US),periodic & related phenomena
G23,peck,pk (US),periodic & related phenomena
G24,tablespoon (US),tablespoon (US),periodic & related phenomena
G25,teaspoon (US),teaspoon (US),periodic & related phenomena
G26,stere,st,space & time
G27,cubic centimetre per kelvin,cm³/K,space & time
G28,litre per kelvin,l/K,space & time
G29,cubic metre per kelvin,m³/K,space & time
G3,Imperial gallon per minute,gal (UK) /min,periodic & related phenomena
G30,millilitre per kelvin,ml/K,space & time
G31,kilogram per cubic centimetre,kg/cm³,space & time
G32,ounce (avoirdupois) per cubic yard,oz/yd³,periodic & related phenomena
G33,gram per cubic centimetre kelvin,g/(cm³·K),space & time
G34,gram per cubic decimetre kelvin,g/(dm³·K),space & time
G35,gram per litre kelvin,g/(l·K),space & time
G36,gram per cubic metre kelvin,g/(m³·K),space & time
G37,gram per millilitre kelvin,g/(ml·K),space & time
G38,kilogram per cubic centimetre kelvin,kg/(cm³·K),space & time
G39,kilogram per litre kelvin,kg/(l·K),space & time
G40,kilogram per cubic metre kelvin,kg/(m³·K),space & time
G41,square metre per second bar,m²/(s·bar),space & time
G42,microsiemens per centimetre,µS/cm,space & time
G43,microsiemens per metre,µS/m,space & time
G44,nanosiemens per centimetre,nS/cm,space & time
G45,nanosiemens per metre,nS/m,space & time
G46,stokes per bar,St/bar,periodic & related phenomena
G47,cubic centimetre per day,cm³/d,space & time
G48,cubic centimetre per hour,cm³/h,space & time
G49,cubic centimetre per minute,cm³/min,space & time
G50,gallon (US) per hour,gal/h,periodic & related phenomena
G51,litre per second,l/s,space & time
G52,cubic metre per day,m³/d,space & time
G53,cubic metre per minute,m³/min,space & time
G54,millilitre per day,ml/d,space & time
G55,millilitre per hour,ml/h,space & time
G56,cubic inch per hour,in³/h,periodic & related phenomena
G57,cubic inch per minute,in³/min,periodic & related phenomena
G58,cubic inch per second,in³/s,periodic & related phenomena
G59,milliampere per litre minute,mA/(l·min),space & time
G60,volt per bar,V/bar,space & time
G61,cubic centimetre per day kelvin,cm³/(d·K),space & time
G62,cubic centimetre per hour kelvin,cm³/(h·K),space & time
G63,cubic centimetre per minute kelvin,cm³/(min·K),space & time
G64,cubic centimetre per second kelvin,cm³/(s·K),space & time
G65,litre per day kelvin,l/(d·K),space & time
G66,litre per hour kelvin,l/(h·K),space & time
G67,litre per minute kelvin,l/(min·K),space & time
G68,litre per second kelvin,l/(s·K),space & time
G69,cubic metre per day kelvin,m³/(d·K),space & time
G70,cubic metre per hour kelvin,m³/(h·K),space & time
G71,cubic metre per minute kelvin,m³/(min·K),space & time
G72,cubic metre per second kelvin,m³/(s·K),space & time
G73,millilitre per day kelvin,ml/(d·K),space & time
G74,millilitre per hour kelvin,ml/(h·K),space & time
G75,millilitre per minute kelvin,ml/(min·K),space & time
G76,millilitre per second kelvin,ml/(s·K),space & time
G77,millimetre to the fourth power,mm⁴,space & time
G78,cubic centimetre per day bar,cm³/(d·bar),space & time
G79,cubic centimetre per hour bar,cm³/(h·bar),space & time
G80,cubic centimetre per minute bar,cm³/(min·bar),space & time
G81,cubic centimetre per second bar,cm³/(s·bar),space & time
G82,litre per day bar,l/(d·bar),space & time
G83,litre per hour bar,l/(h·bar),space & time
G84,litre per minute bar,l/(min·bar),space & time
G85,litre per second bar,l/(s·bar),space & time
G86,cubic metre per day bar,m³/(d·bar),space & time
G87,cubic metre per hour bar,m³/(h·bar),space & time
G88,cubic metre per minute bar,m³/(min·bar),space & time
G89,cubic metre per second bar,m³/(s·bar),space & time
G90,millilitre per day bar,ml/(d·bar),space & time
G91,millilitre per hour bar,ml/(h·bar),space & time
G92,millilitre per minute bar,ml/(min·bar),space & time
G93,millilitre per second bar,ml/(s·bar),space & time
G94,cubic centimetre per bar,cm³/bar,space & time
G95,litre per bar,l/bar,space & time
G96,cubic metre per bar,m³/bar,space & time
G97,millilitre per bar,ml/bar,space & time
G98,microhenry per kiloohm,µH/kΩ,space & time
G99,microhenry per ohm,µH/Ω,space & time
GB,gallon (US) per day,gal (US)/d,mechanics
GBQ,gigabecquerel,GBq,space & time
GDW,"gram, dry weight",,mechanics
GE,pound per gallon (US),lb/gal (US),periodic & related phenomena
GF,gram per metre (gram per 100 centimetres),g/m,space & time
GFI,gram of fissile isotope,gi F/S,mechanics
GGR,great gross,,mechanics
GIA,gill (US),gi (US),mechanics
GIC,"gram, including container",,mechanics
GII,gill (UK),gi (UK),mechanics
GIP,"gram, including inner packaging",,mechanics
GJ,gram per millilitre,g/ml,space & time
GL,gram per litre,g/l,space & time
GLD,dry gallon (US),dry gal (US),periodic & related phenomena
GLI,gallon (UK),gal (UK),periodic & related phenomena
GLL,gallon (US),gal (US),periodic & related phenomena
GM,gram per square metre,g/m²,space & time
GO,milligram per square metre,mg/m²,space & time
GP,milligram per cubic metre,mg/m³,space & time
GQ,microgram per cubic metre,µg/m³,space & time
GRM,gram,g,space & time
GRN,grain,gr,periodic & related phenomena
GRO,gross,gr,mechanics
GV,gigajoule,GJ,space & time
GWH,gigawatt hour,GW·h,space & time
H03,henry per kiloohm,H/kΩ,space & time
H04,henry per ohm,H/Ω,space & time
H05,millihenry per kiloohm,mH/kΩ,space & time
H06,millihenry per ohm,mH/Ω,space & time
H07,pascal second per bar,Pa·s/bar,space & time
H08,microbecquerel,µBq,space & time
H09,reciprocal year,1/y,space & time
H10,reciprocal hour,1/h,space & time
H11,reciprocal month,1/mo,space & time
H12,degree Celsius per hour,°C/h,space & time
H13,degree Celsius per minute,°C/min,space & time
H14,degree Celsius per second,°C/s,space & time
H15,square centimetre per gram,cm²/g,space & time
H16,square decametre,dam²,space & time
H18,square hectometre,hm²,space & time
H19,cubic hectometre,hm³,space & time
H20,cubic kilometre,km³,space & time
H21,blank,,mechanics
H22,volt square inch per pound-force,V/(lbf/in²),periodic & related phenomena
H23,volt per inch,V/in,periodic & related phenomena
H24,volt per microsecond,V/µs,space & time
H25,percent per kelvin,%/K,mechanics
H26,ohm per metre,Ω/m,space & time
H27,degree per metre,°/m,periodic & related phenomena
H28,microfarad per kilometre,µF/km,space & time
H29,microgram per litre,µg/l,space & time
H30,square micrometre (square micron),µm²,space & time
H31,ampere per kilogram,A/kg,space & time
H32,ampere squared second,A²·s,space & time
H33,farad per kilometre,F/km,space & time
H34,hertz metre,Hz·m,periodic & related phenomena
H35,kelvin metre per watt,K·m/W,space & time
H36,megaohm per kilometre,MΩ/km,space & time
H37,megaohm per metre,MΩ/m,space & time
H38,megaampere,MA,space & time
H39,megahertz kilometre,MHz·km,periodic & related phenomena
H40,newton per ampere,N/A,space & time
H41,"newton metre watt to the power minus 0,5",N·m·W⁻⁰‧⁵,periodic & related phenomena
H42,pascal per metre,Pa/m,space & time
H43,siemens per centimetre,S/cm,space & time
H44,teraohm,TΩ,space & time
H45,volt second per metre,V·s/m,space & time
H46,volt per second,V/s,space & time
H47,watt per cubic metre,W/m³,space & time
H48,attofarad,aF,space & time
H49,centimetre per hour,cm/h,space & time
H50,reciprocal cubic centimetre,cm⁻³,space & time
H51,decibel per kilometre,dB/km,space & time
H52,decibel per metre,dB/m,space & time
H53,kilogram per bar,kg/bar,space & time
H54,kilogram per cubic decimetre kelvin,(kg/dm³)/K,space & time
H55,kilogram per cubic decimetre bar,(kg/dm³)/bar,space & time
H56,kilogram per square metre second,kg/(m²·s),space & time
H57,inch per two pi radiant,in/revolution,periodic & related phenomena
H58,metre per volt second,m/(V·s),space & time
H59,square metre per newton,m²/N,space & time
H60,cubic metre per cubic metre,m³/m³,space & time
H61,millisiemens per centimetre,mS/cm,space & time
H62,millivolt per minute,mV/min,space & time
H63,milligram per square centimetre,mg/cm²,space & time
H64,milligram per gram,mg/g,space & time
H65,millilitre per cubic metre,ml/m³,space & time
H66,millimetre per year,mm/y,periodic & related phenomena
H67,millimetre per hour,mm/h,periodic & related phenomena
H68,millimole per gram,mmol/g,space & time
H69,picopascal per kilometre,pPa/km,space & time
H70,picosecond,ps,space & time
H71,percent per month,%/mo,mechanics
H72,percent per hectobar,%/hbar,mechanics
H73,percent per decakelvin,%/daK,mechanics
H74,watt per metre,W/m,space & time
H75,decapascal,daPa,space & time
H76,gram per millimetre,g/mm,space & time
H77,module width,MW,mechanics
H79,French gauge,Fg,periodic & related phenomena
H80,rack unit,U or RU,mechanics
H81,millimetre per minute,mm/min,space & time
H82,big point,bp,mechanics
H83,litre per kilogram,l/kg,space & time
H84,gram millimetre,g·mm,space & time
H85,reciprocal week,1/wk,space & time
H87,piece,,mechanics
H88,megaohm kilometre,MΩ·km,space & time
H89,percent per ohm,%/Ω,mechanics
H90,percent per degree,%/°,mechanics
H91,percent per ten thousand,%/10000,mechanics
H92,percent per one hundred thousand,%/100000,mechanics
H93,percent per hundred,%/100,mechanics
H94,percent per thousand,%/1000,mechanics
H95,percent per volt,%/V,mechanics
H96,percent per bar,%/bar,mechanics
H98,percent per inch,%/in,mechanics
H99,percent per metre,%/m,mechanics
HA,hank,,mechanics
HBA,hectobar,hbar,space & time
HBX,hundred boxes,,mechanics
HC,hundred count,,mechanics
HDW,"hundred kilogram, dry weight",,mechanics
HEA,head,,mechanics
HGM,hectogram,hg,space & time
HH,hundred cubic foot,,mechanics
HIU,hundred international unit,,mechanics
HKM,"hundred kilogram, net mass",,mechanics
HLT,hectolitre,hl,space & time
HM,mile per hour (statute mile),mile/h,periodic & related phenomena
HMQ,million cubic metre,Mm³,mechanics
HMT,hectometre,hm,space & time
HPA,hectolitre of pure alcohol,,mechanics
HTZ,hertz,Hz,space & time
HUR,hour,h,space & time
IA,inch pound (pound inch),in·lb,periodic & related phenomena
IE,person,,mechanics
INH,inch,in,periodic & related phenomena
INK,square inch,in²,periodic & related phenomena
INQ,cubic inch,in³,periodic & related phenomena
ISD,international sugar degree,,mechanics
IU,inch per second,in/s,periodic & related phenomena
IUG,international unit per gram,,mechanics
IV,inch per second squared,in/s²,periodic & related phenomena
J10,percent per millimetre,%/mm,mechanics
J12,per mille per psi,‰/psi,mechanics
J13,degree API,°API,mechanics
J14,degree Baume (origin scale),°Bé,mechanics
J15,degree Baume (US heavy),°Bé (US heavy),mechanics
J16,degree Baume (US light),°Bé (US light),mechanics
J17,degree Balling,°Balling,mechanics
J18,degree Brix,°Bx,mechanics
J19,degree Fahrenheit hour square foot per British thermal unit (thermochemical),°F·h·ft²/Btuth,periodic & related phenomena
J2,joule per kilogram,J/kg,space & time
J20,degree Fahrenheit per kelvin,°F/K,periodic & related phenomena
J21,degree Fahrenheit per bar,°F/bar,periodic & related phenomena
J22,degree Fahrenheit hour square foot per British thermal unit (international table),°F·h·ft²/BtuIT,periodic & related phenomena
J23,degree Fahrenheit per hour,°F/h,periodic & related phenomena
J24,degree Fahrenheit per minute,°F/min,periodic & related phenomena
J25,degree Fahrenheit per second,°F/s,periodic & related phenomena
J26,reciprocal degree Fahrenheit,1/°F,periodic & related phenomena
J27,degree Oechsle,°Oechsle,mechanics
J28,degree Rankine per hour,°R/h,periodic & related phenomena
J29,degree Rankine per minute,°R/min,periodic & related phenomena
J30,degree Rankine per second,°R/s,periodic & related phenomena
J31,degree Twaddell,°Tw,mechanics
J32,micropoise,µP,periodic & related phenomena
J33,microgram per kilogram,µg/kg,space & time
J34,microgram per cubic metre kelvin,(µg/m³)/K,periodic & related phenomena
J35,microgram per cubic metre bar,(µg/m³)/bar,periodic & related phenomena
J36,microlitre per litre,µl/l,space & time
J38,baud,Bd,mechanics
J39,British thermal unit (mean),Btu,periodic & related phenomena
J40,British thermal unit (international table) foot per hour square foot degree Fahrenheit,BtuIT·ft/(h·ft²·°F),periodic & related phenomena
J41,British thermal unit (international table) inch per hour square foot degree Fahrenheit,BtuIT·in/(h·ft²·°F),periodic & related phenomena
J42,British thermal unit (international table) inch per second square foot degree Fahrenheit,BtuIT·in/(s·ft²·°F),periodic & related phenomena
J43,British thermal unit (international table) per pound degree Fahrenheit,BtuIT/(lb·°F),periodic & related phenomena
J44,British thermal unit (international table) per minute,BtuIT/min,periodic & related phenomena
J45,British thermal unit (international table) per second,BtuIT/s,periodic & related phenomena
J46,British thermal unit (thermochemical) foot per hour square foot degree Fahrenheit,Btuth·ft/(h·ft²·°F),periodic & related phenomena
J47,British thermal unit (thermochemical) per hour,Btuth/h,periodic & related phenomena
J48,British thermal unit (thermochemical) inch per hour square foot degree Fahrenheit,Btuth·in/(h·ft²·°F),periodic & related phenomena
J49,British thermal unit (thermochemical) inch per second square foot degree Fahrenheit,Btuth·in/(s·ft²·°F),periodic & related phenomena
J50,British thermal unit (thermochemical) per pound degree Fahrenheit,Btuth/(lb·°F),periodic & related phenomena
J51,British thermal unit (thermochemical) per minute,Btuth/min,periodic & related phenomena
J52,British thermal unit (thermochemical) per second,Btuth/s,periodic & related phenomena
J53,coulomb square metre per kilogram,C·m²/kg,periodic & related phenomena
J54,megabaud,MBd,mechanics
J55,watt second,W·s,space & time
J56,bar per bar,bar/bar,periodic & related phenomena
J57,barrel (UK petroleum),bbl (UK liq.),periodic & related phenomena
J58,barrel (UK petroleum) per minute,bbl (UK liq.)/min,periodic & related phenomena
J59,barrel (UK petroleum) per day,bbl (UK liq.)/d,periodic & related phenomena
J60,barrel (UK petroleum) per hour,bbl (UK liq.)/h,periodic & related phenomena
J61,barrel (UK petroleum) per second,bbl (UK liq.)/s,periodic & related phenomena
J62,barrel (US petroleum) per hour,bbl (US)/h,periodic & related phenomena
J63,barrel (US petroleum) per second,bbl (US)/s,periodic & related phenomena
J64,bushel (UK) per day,bu (UK)/d,periodic & related phenomena
J65,bushel (UK) per hour,bu (UK)/h,periodic & related phenomena
J66,bushel (UK) per minute,bu (UK)/min,periodic & related phenomena
J67,bushel (UK) per second,bu (UK)/s,periodic & related phenomena
J68,bushel (US dry) per day,bu (US dry)/d,periodic & related phenomena
J69,bushel (US dry) per hour,bu (US dry)/h,periodic & related phenomena
J70,bushel (US dry) per minute,bu (US dry)/min,periodic & related phenomena
J71,bushel (US dry) per second,bu (US dry)/s,periodic & related phenomena
J72,centinewton metre,cN·m,space & time
J73,centipoise per kelvin,cP/K,periodic & related phenomena
J74,centipoise per bar,cP/bar,periodic & related phenomena
J75,calorie (mean),cal,periodic & related phenomena
J76,calorie (international table) per gram degree Celsius,calIT/(g·°C),periodic & related phenomena
J78,calorie (thermochemical) per centimetre second degree Celsius,calth/(cm·s·°C),periodic & related phenomena
J79,calorie (thermochemical) per gram degree Celsius,calth/(g·°C),periodic & related phenomena
J81,calorie (thermochemical) per minute,calth/min,periodic & related phenomena
J82,calorie (thermochemical) per second,calth/s,periodic & related phenomena
J83,clo,clo,periodic & related phenomena
J84,centimetre per second kelvin,(cm/s)/K,periodic & related phenomena
J85,centimetre per second bar,(cm/s)/bar,periodic & related phenomena
J87,cubic centimetre per cubic metre,cm³/m³,space & time
J90,cubic decimetre per day,dm³/d,space & time
J91,cubic decimetre per cubic metre,dm³/m³,space & time
J92,cubic decimetre per minute,dm³/min,space & time
J93,cubic decimetre per second,dm³/s,space & time
J95,ounce (UK fluid) per day,fl oz (UK)/d,periodic & related phenomena
J96,ounce (UK fluid) per hour,fl oz (UK)/h,periodic & related phenomena
J97,ounce (UK fluid) per minute,fl oz (UK)/min,periodic & related phenomena
J98,ounce (UK fluid) per second,fl oz (UK)/s,periodic & related phenomena
J99,ounce (US fluid) per day,fl oz (US)/d,periodic & related phenomena
JE,joule per kelvin,J/K,space & time
JK,megajoule per kilogram,MJ/kg,space & time
JM,megajoule per cubic metre,MJ/m³,space & time
JNT,pipeline joint,,mechanics
JOU,joule,J,space & time
JPS,hundred metre,,mechanics
JWL,number of jewels,,mechanics
K1,kilowatt demand,,mechanics
K10,ounce (US fluid) per hour,fl oz (US)/h,periodic & related phenomena
K11,ounce (US fluid) per minute,fl oz (US)/min,periodic & related phenomena
K12,ounce (US fluid) per second,fl oz (US)/s,periodic & related phenomena
K13,foot per degree Fahrenheit,ft/°F,periodic & related phenomena
K14,foot per hour,ft/h,periodic & related phenomena
K15,foot pound-force per hour,ft·lbf/h,periodic & related phenomena
K16,foot pound-force per minute,ft·lbf/min,periodic & related phenomena
K17,foot per psi,ft/psi,periodic & related phenomena
K18,foot per second degree Fahrenheit,(ft/s)/°F,periodic & related phenomena
K19,foot per second psi,(ft/s)/psi,periodic & related phenomena
K2,kilovolt ampere reactive demand,,mechanics
K20,reciprocal cubic foot,1/ft³,periodic & related phenomena
K21,cubic foot per degree Fahrenheit,ft³/°F,periodic & related phenomena
K22,cubic foot per day,ft³/d,periodic & related phenomena
K23,cubic foot per psi,ft³/psi,periodic & related phenomena
K26,gallon (UK) per day,gal (UK)/d,periodic & related phenomena
K27,gallon (UK) per hour,gal (UK)/h,periodic & related phenomena
K28,gallon (UK) per second,gal (UK)/s,periodic & related phenomena
K3,kilovolt ampere reactive hour,kvar·h,mechanics
K30,gallon (US liquid) per second,gal (US liq.)/s,periodic & related phenomena
K31,gram-force per square centimetre,gf/cm²,periodic & related phenomena
K32,gill (UK) per day,gi (UK)/d,periodic & related phenomena
K33,gill (UK) per hour,gi (UK)/h,periodic & related phenomena
K34,gill (UK) per minute,gi (UK)/min,periodic & related phenomena
K35,gill (UK) per second,gi (UK)/s,periodic & related phenomena
K36,gill (US) per day,gi (US)/d,periodic & related phenomena
K37,gill (US) per hour,gi (US)/h,periodic & related phenomena
K38,gill (US) per minute,gi (US)/min,periodic & related phenomena
K39,gill (US) per second,gi (US)/s,periodic & related phenomena
K40,standard acceleration of free fall,gn,periodic & related phenomena
K41,grain per gallon (US),gr/gal (US),periodic & related phenomena
K42,horsepower (boiler),boiler hp,periodic & related phenomena
K43,horsepower (electric),electric hp,periodic & related phenomena
K45,inch per degree Fahrenheit,in/°F,periodic & related phenomena
K46,inch per psi,in/psi,periodic & related phenomena
K47,inch per second degree Fahrenheit,(in/s)/°F,periodic & related phenomena
K48,inch per second psi,(in/s)/psi,periodic & related phenomena
K49,reciprocal cubic inch,1/in³,periodic & related phenomena
K50,kilobaud,kBd,mechanics
K51,kilocalorie (mean),kcal,periodic & related phenomena
K52,kilocalorie (international table) per hour metre degree Celsius,kcal/(m·h·°C),periodic & related phenomena
K53,kilocalorie (thermochemical),kcalth,periodic & related phenomena
K54,kilocalorie (thermochemical) per minute,kcalth/min,periodic & related phenomena
K55,kilocalorie (thermochemical) per second,kcalth/s,periodic & related phenomena
K58,kilomole per hour,kmol/h,space & time
K59,kilomole per cubic metre kelvin,(kmol/m³)/K,periodic & related phenomena
K6,kilolitre,kl,space & time
K60,kilomole per cubic metre bar,(kmol/m³)/bar,periodic & related phenomena
K61,kilomole per minute,kmol/min,space & time
K62,litre per litre,l/l,space & time
K63,reciprocal litre,1/l,periodic & related phenomena
K64,pound (avoirdupois) per degree Fahrenheit,lb/°F,periodic & related phenomena
K65,pound (avoirdupois) square foot,lb·ft²,periodic & related phenomena
K66,pound (avoirdupois) per day,lb/d,periodic & related phenomena
K67,pound per foot hour,lb/(ft·h),periodic & related phenomena
K68,pound per foot second,lb/(ft·s),periodic & related phenomena
K69,pound (avoirdupois) per cubic foot degree Fahrenheit,(lb/ft³)/°F,periodic & related phenomena
K70,pound (avoirdupois) per cubic foot psi,(lb/ft³)/psi,periodic & related phenomena
K71,pound (avoirdupois) per gallon (UK),lb/gal (UK),periodic & related phenomena
K73,pound (avoirdupois) per hour degree Fahrenheit,(lb/h)/°F,periodic & related phenomena
K74,pound (avoirdupois) per hour psi,(lb/h)/psi,periodic & related phenomena
K75,pound (avoirdupois) per cubic inch degree Fahrenheit,(lb/in³)/°F,periodic & related phenomena
K76,pound (avoirdupois) per cubic inch psi,(lb/in³)/psi,periodic & related phenomena
K77,pound (avoirdupois) per psi,lb/psi,periodic & related phenomena
K78,pound (avoirdupois) per minute,lb/min,periodic & related phenomena
K79,pound (avoirdupois) per minute degree Fahrenheit,lb/(min·°F),periodic & related phenomena
K80,pound (avoirdupois) per minute psi,(lb/min)/psi,periodic & related phenomena
K81,pound (avoirdupois) per second,lb/s,periodic & related phenomena
K82,pound (avoirdupois) per second degree Fahrenheit,(lb/s)/°F,periodic & related phenomena
K83,pound (avoirdupois) per second psi,(lb/s)/psi,periodic & related phenomena
K84,pound per cubic yard,lb/yd³,periodic & related phenomena
K85,pound-force per square foot,lbf/ft²,periodic & related phenomena
K86,pound-force per square inch degree Fahrenheit,psi/°F,periodic & related phenomena
K87,psi cubic inch per second,psi·in³/s,periodic & related phenomena
K88,psi litre per second,psi·l/s,periodic & related phenomena
K89,psi cubic metre per second,psi·m³/s,periodic & related phenomena
K90,psi cubic yard per second,psi·yd³/s,periodic & related phenomena
K91,pound-force second per square foot,lbf·s/ft²,periodic & related phenomena
K92,pound-force second per square inch,lbf·s/in²,periodic & related phenomena
K93,reciprocal psi,1/psi,periodic & related phenomena
K94,quart (UK liquid) per day,qt (UK liq.)/d,periodic & related phenomena
K95,quart (UK liquid) per hour,qt (UK liq.)/h,periodic & related phenomena
K96,quart (UK liquid) per minute,qt (UK liq.)/min,periodic & related phenomena
K97,quart (UK liquid) per second,qt (UK liq.)/s,periodic & related phenomena
K98,quart (US liquid) per day,qt (US liq.)/d,periodic & related phenomena
K99,quart (US liquid) per hour,qt (US liq.)/h,periodic & related phenomena
KA,cake,,mechanics
KAT,katal,kat,space & time
KB,kilocharacter,,mechanics
KBA,kilobar,kbar,space & time
KCC,kilogram of choline chloride,kg C₅ H₁₄ClNO,mechanics
KDW,kilogram drained net weight,kg/net eda,mechanics
KEL,kelvin,K,space & time
KGM,kilogram,kg,space & time
KGS,kilogram per second,kg/s,space & time
KHY,kilogram of hydrogen peroxide,kg H₂O₂,mechanics
KHZ,kilohertz,kHz,space & time
KI,kilogram per millimetre width,,mechanics
KIC,"kilogram, including container",,mechanics
KIP,"kilogram, including inner packaging",,mechanics
KJ,kilosegment,,mechanics
KJO,kilojoule,kJ,space & time
KL,kilogram per metre,kg/m,space & time
KLK,lactic dry material percentage,,mechanics
KLX,kilolux,klx,space & time
KMA,kilogram of methylamine,kg met.am.,mechanics
KMH,kilometre per hour,km/h,space & time
KMK,square kilometre,km²,space & time
KMQ,kilogram per cubic metre,kg/m³,space & time
KMT,kilometre,km,space & time
KNI,kilogram of nitrogen,kg N,mechanics
KNM,kilonewton per square metre,kN/m2,space & time
KNS,kilogram named substance,,mechanics
KNT,knot,kn,space & time
KO,milliequivalence caustic potash per gram of product,,mechanics
KPA,kilopascal,kPa,space & time
KPH,kilogram of potassium hydroxide (caustic potash),kg KOH,mechanics
KPO,kilogram of potassium oxide,kg K₂O,mechanics
KPP,kilogram of phosphorus pentoxide (phosphoric anhydride),,mechanics
KR,kiloroentgen,kR,periodic & related phenomena
KSD,kilogram of substance 90 % dry,kg 90 % sdt,mechanics
KSH,kilogram of sodium hydroxide (caustic soda),kg NaOH,mechanics
KT,kit,,mechanics
KTN,kilotonne,kt,space & time
KUR,kilogram of uranium,kg U,mechanics
KVA,kilovolt - ampere,kV·A,space & time
KVR,kilovar,kvar,space & time
KVT,kilovolt,kV,space & time
KW,kilogram per millimetre,kg/mm,space & time
KWH,kilowatt hour,kW·h,space & time
KWY,kilowatt year,kW/year,periodic & related phenomena
KWN,Kilowatt hour per normalized cubic metre,,periodic & related phenomena
KWO,kilogram of tungsten trioxide,kg WO₃,mechanics
KWS,Kilowatt hour per standard cubic metre,,periodic & related phenomena
KWT,kilowatt,kW,space & time
KX,millilitre per kilogram,ml/kg,space & time
L10,quart (US liquid) per minute,qt (US liq.)/min,periodic & related phenomena
L11,quart (US liquid) per second,qt (US liq.)/s,periodic & related phenomena
L12,metre per second kelvin,(m/s)/K,periodic & related phenomena
L13,metre per second bar,(m/s)/bar,periodic & related phenomena
L14,square metre hour degree Celsius per kilocalorie (international table),m²·h·°C/kcal,periodic & related phenomena
L15,millipascal second per kelvin,mPa·s/K,periodic & related phenomena
L16,millipascal second per bar,mPa·s/bar,periodic & related phenomena
L17,milligram per cubic metre kelvin,(mg/m³)/K,periodic & related phenomena
L18,milligram per cubic metre bar,(mg/m³)/bar,periodic & related phenomena
L19,millilitre per litre,ml/l,space & time
L2,litre per minute,l/min,space & time
L20,reciprocal cubic millimetre,1/mm³,space & time
L21,cubic millimetre per cubic metre,mm³/m³,space & time
L23,mole per hour,mol/h,space & time
L24,mole per kilogram kelvin,(mol/kg)/K,periodic & related phenomena
L25,mole per kilogram bar,(mol/kg)/bar,periodic & related phenomena
L26,mole per litre kelvin,(mol/l)/K,periodic & related phenomena
L27,mole per litre bar,(mol/l)/bar,periodic & related phenomena
L28,mole per cubic metre kelvin,(mol/m³)/K,periodic & related phenomena
L29,mole per cubic metre bar,(mol/m³)/bar,periodic & related phenomena
L30,mole per minute,mol/min,space & time
L31,milliroentgen aequivalent men,mrem,periodic & related phenomena
L32,nanogram per kilogram,ng/kg,space & time
L33,ounce (avoirdupois) per day,oz/d,periodic & related phenomena
L34,ounce (avoirdupois) per hour,oz/h,periodic & related phenomena
L35,ounce (avoirdupois) per minute,oz/min,periodic & related phenomena
L36,ounce (avoirdupois) per second,oz/s,periodic & related phenomena
L37,ounce (avoirdupois) per gallon (UK),oz/gal (UK),periodic & related phenomena
L38,ounce (avoirdupois) per gallon (US),oz/gal (US),periodic & related phenomena
L39,ounce (avoirdupois) per cubic inch,oz/in³,periodic & related phenomena
L40,ounce (avoirdupois)-force,ozf,periodic & related phenomena
L41,ounce (avoirdupois)-force inch,ozf·in,periodic & related phenomena
L42,picosiemens per metre,pS/m,periodic & related phenomena
L43,peck (UK),pk (UK),periodic & related phenomena
L44,peck (UK) per day,pk (UK)/d,periodic & related phenomena
L45,peck (UK) per hour,pk (UK)/h,periodic & related phenomena
L46,peck (UK) per minute,pk (UK)/min,periodic & related phenomena
L47,peck (UK) per second,pk (UK)/s,periodic & related phenomena
L48,peck (US dry) per day,pk (US dry)/d,periodic & related phenomena
L49,peck (US dry) per hour,pk (US dry)/h,periodic & related phenomena
L50,peck (US dry) per minute,pk (US dry)/min,periodic & related phenomena
L51,peck (US dry) per second,pk (US dry)/s,periodic & related phenomena
L52,psi per psi,psi/psi,periodic & related phenomena
L53,pint (UK) per day,pt (UK)/d,periodic & related phenomena
L54,pint (UK) per hour,pt (UK)/h,periodic & related phenomena
L55,pint (UK) per minute,pt (UK)/min,periodic & related phenomena
L56,pint (UK) per second,pt (UK)/s,periodic & related phenomena
L57,pint (US liquid) per day,pt (US liq.)/d,periodic & related phenomena
L58,pint (US liquid) per hour,pt (US liq.)/h,periodic & related phenomena
L59,pint (US liquid) per minute,pt (US liq.)/min,periodic & related phenomena
L60,pint (US liquid) per second,pt (US liq.)/s,periodic & related phenomena
